Unnamed: 0,id,smiles,scaffold,decorations,count
5248,549755813888,CC1Cc2cc3ccc(N(C)C)cc3[s+]c2-c2ccccc21,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)CC([*:1])C1C3=CC=CC=1,"{0: '[*]N(C)C', 1: '[*]C'}",1264
1,137438953472,CCN(CC)c1ccc2cc3c([s+]c2c1)-c1ccccc1C(C)C3,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)CC([*:1])C1C3=CC=CC=1,"{0: '[*]N(CC)CC', 1: '[*]C'}",1084
80,137438953477,CCN(CC)c1ccc2cc3c([s+]c2c1)-c1ccccc1C(CC(=O)O)C3,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)CC([*:1])C1C3=CC=CC=1,"{0: '[*]N(CC)CC', 1: '[*]CC(=O)O'}",772
100,137438953478,CCN(CC)c1ccc2cc3c([s+]c2c1)-c1ccccc1C(c1ccccc1)C3,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)CC([*:1])C1C3=CC=CC=1,"{0: '[*]N(CC)CC', 1: '[*]c1ccccc1'}",543
86,137438953477,CCN(CC)c1ccc2cc3c([s+]c2c1)-c1ccccc1C(C(=O)O)C3,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)CC([*:1])C1C3=CC=CC=1,"{0: '[*]N(CC)CC', 1: '[*]C(=O)O'}",393
5747,549755813919,CC1Cc2cc3ccc(N)cc3[s+]c2-c2ccccc21,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)CC([*:1])C1C3=CC=CC=1,"{0: '[*]N', 1: '[*]C'}",351
4626,481036337153,CN(C)c1ccc2cc3c([s+]c2c1)-c1ccccc1C(C[NH3+])C3,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)CC([*:1])C1C3=CC=CC=1,"{0: '[*]N(C)C', 1: '[*]C[NH3+]'}",329
6496,678604832782,CN(C)c1ccc2cc3c([s+]c2c1)-c1ccccc1C([O-])C3,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)CC([*:1])C1C3=CC=CC=1,"{0: '[*]N(C)C', 1: '[*][O-]'}",313
6436,678604832778,COC(=O)C1Cc2cc3ccc(N(C)C)cc3[s+]c2-c2ccccc21,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)CC([*:1])C1C3=CC=CC=1,"{0: '[*]N(C)C', 1: '[*]C(=O)OC'}",299
6413,678604832776,CN(C)c1ccc2cc3c([s+]c2c1)-c1ccccc1C(CO)C3,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)CC([*:1])C1C3=CC=CC=1,"{0: '[*]N(C)C', 1: '[*]CO'}",277
47,137438953474,CCC1Cc2cc3ccc(N(CC)CC)cc3[s+]c2-c2ccccc21,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)CC([*:1])C1C3=CC=CC=1,"{0: '[*]N(CC)CC', 1: '[*]CC'}",265
10288,687194767363,Nc1ccc2cc3c([s+]c2c1)-c1ccccc1C(CC(=O)O)C3,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)CC([*:1])C1C3=CC=CC=1,"{0: '[*]N', 1: '[*]CC(=O)O'}",261
