Unnamed: 0,id,smiles,scaffold,decorations,count
1296,1073741824001,CN(C)c1ccc2cc3c([s+]c2c1)-c1cccc(N(C)C)c1CC3,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)CCC1C3=CC=CC=1[*:1],"{0: '[*]N(C)C', 1: '[*]N(C)C'}",3202
1282,1073741824000,CCN(CC)c1cccc2c1CCc1cc3ccc(N(C)C)cc3[s+]c1-2,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)CCC1C3=CC=CC=1[*:1],"{0: '[*]N(C)C', 1: '[*]N(CC)CC'}",1380
10880,1374389534720,COc1cccc2c1CCc1cc3ccc(N)cc3[s+]c1-2,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)CCC1C3=CC=CC=1[*:1],"{0: '[*]N', 1: '[*]OC'}",775
1301,1073741824001,CN(C)c1ccc2cc3c([s+]c2c1)-c1cccc(N)c1CC3,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)CCC1C3=CC=CC=1[*:1],"{0: '[*]N(C)C', 1: '[*]N'}",599
1352,1073741824004,COc1cccc2c1CCc1cc3ccc(N(C)C)cc3[s+]c1-2,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)CCC1C3=CC=CC=1[*:1],"{0: '[*]N(C)C', 1: '[*]OC'}",538
1345,1073741824004,Cc1cccc2c1CCc1cc3ccc(N(C)C)cc3[s+]c1-2,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)CCC1C3=CC=CC=1[*:1],"{0: '[*]N(C)C', 1: '[*]C'}",517
11009,1374389534728,CCN(CC)c1cccc2c1CCc1cc3ccc(N)cc3[s+]c1-2,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)CCC1C3=CC=CC=1[*:1],"{0: '[*]N', 1: '[*]N(CC)CC'}",467
10957,1374389534724,CN(C)c1cccc2c1CCc1cc3ccc(N)cc3[s+]c1-2,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)CCC1C3=CC=CC=1[*:1],"{0: '[*]N', 1: '[*]N(C)C'}",346
1280,1073741824000,CN(C)c1ccc2cc3c([s+]c2c1)-c1cccc(C(=O)[O-])c1CC3,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)CCC1C3=CC=CC=1[*:1],"{0: '[*]N(C)C', 1: '[*]C(=O)[O-]'}",338
1348,1073741824004,C=Cc1cccc2c1CCc1cc3ccc(N(C)C)cc3[s+]c1-2,[*:0]C1C=C2[S+]=C3C(=CC2=CC=1)CCC1C3=CC=CC=1[*:1],"{0: '[*]N(C)C', 1: '[*]C=C'}",299
